"date","label"
"2020-06-18","jeu. 18 juin"
"2020-06-17","mer. 17 juin"
"2020-06-16","mar. 16 juin"
"2020-06-15","lun. 15 juin"
"2020-06-14","dim. 14 juin"
"2020-06-13","sam. 13 juin"
"2020-06-12","ven. 12 juin"
"2020-06-11","jeu. 11 juin"
"2020-06-10","mer. 10 juin"
"2020-06-09","mar. 09 juin"
"2020-06-08","lun. 08 juin"
"2020-06-07","dim. 07 juin"
"2020-06-06","sam. 06 juin"
"2020-06-05","ven. 05 juin"
"2020-06-04","jeu. 04 juin"
"2020-06-03","mer. 03 juin"
"2020-06-02","mar. 02 juin"
"2020-06-01","lun. 01 juin"
"2020-05-31","dim. 31 mai"
"2020-05-30","sam. 30 mai"
"2020-05-29","ven. 29 mai"
"2020-05-28","jeu. 28 mai"
"2020-05-27","mer. 27 mai"
"2020-05-26","mar. 26 mai"
"2020-05-25","lun. 25 mai"
"2020-05-24","dim. 24 mai"
"2020-05-23","sam. 23 mai"
"2020-05-22","ven. 22 mai"
"2020-05-21","jeu. 21 mai"
"2020-05-20","mer. 20 mai"
"2020-05-19","mar. 19 mai"
"2020-05-18","lun. 18 mai"
"2020-05-17","dim. 17 mai"
"2020-05-16","sam. 16 mai"
"2020-05-15","ven. 15 mai"
"2020-05-14","jeu. 14 mai"
"2020-05-13","mer. 13 mai"
"2020-05-12","mar. 12 mai"
"2020-05-11","lun. 11 mai"
"2020-05-10","dim. 10 mai"
"2020-05-09","sam. 09 mai"
"2020-05-08","ven. 08 mai"
"2020-05-07","jeu. 07 mai"
"2020-05-06","mer. 06 mai"
"2020-05-05","mar. 05 mai"
"2020-05-04","lun. 04 mai"
"2020-05-03","dim. 03 mai"
"2020-05-02","sam. 02 mai"
"2020-05-01","ven. 01 mai"
"2020-04-30","jeu. 30 avril"
"2020-04-29","mer. 29 avril"
"2020-04-28","mar. 28 avril"
"2020-04-27","lun. 27 avril"
"2020-04-26","dim. 26 avril"
"2020-04-25","sam. 25 avril"
"2020-04-24","ven. 24 avril"
"2020-04-23","jeu. 23 avril"
"2020-04-22","mer. 22 avril"
"2020-04-21","mar. 21 avril"
"2020-04-20","lun. 20 avril"
"2020-04-19","dim. 19 avril"
"2020-04-18","sam. 18 avril"
"2020-04-17","ven. 17 avril"
"2020-04-16","jeu. 16 avril"
"2020-04-15","mer. 15 avril"
"2020-04-14","mar. 14 avril"
"2020-04-13","lun. 13 avril"
"2020-04-12","dim. 12 avril"
"2020-04-11","sam. 11 avril"
"2020-04-10","ven. 10 avril"
"2020-04-09","jeu. 09 avril"
"2020-04-08","mer. 08 avril"
"2020-04-07","mar. 07 avril"
"2020-04-06","lun. 06 avril"
"2020-04-05","dim. 05 avril"
"2020-04-04","sam. 04 avril"
"2020-04-03","ven. 03 avril"
"2020-04-02","jeu. 02 avril"
"2020-04-01","mer. 01 avril"
"2020-03-31","mar. 31 mars"
"2020-03-30","lun. 30 mars"
"2020-03-29","dim. 29 mars"
"2020-03-28","sam. 28 mars"
"2020-03-27","ven. 27 mars"
"2020-03-26","jeu. 26 mars"
"2020-03-25","mer. 25 mars"
"2020-03-24","mar. 24 mars"
"2020-03-23","lun. 23 mars"
"2020-03-22","dim. 22 mars"
"2020-03-21","sam. 21 mars"
"2020-03-20","ven. 20 mars"
"2020-03-19","jeu. 19 mars"
"2020-03-18","mer. 18 mars"
